begin	end	entityId	entityKind
4	6	e_t_1_36_0	SHP
6	8	e_t_1_36_1	PER
29	32	e_t_1_36_2	PER
44	54	e_t_1_36_3	LOC
58	64	e_t_1_36_4	LOC
121	123	e_t_1_36_5	LOCderiv
123	126	e_t_1_36_6	LOCderiv
683	696	e_t_1_36_7	PER
740	743	e_t_1_36_8	PER
743	752	e_t_1_36_9	PER
766	774	e_t_1_36_10	PER
818	826	e_t_1_36_11	LOC
846	850	e_t_1_36_12	LOC
896	898	e_t_1_36_13	LOCderiv
898	903	e_t_1_36_14	LOCderiv
1369	1372	e_t_1_36_15	LOCderiv
1372	1376	e_t_1_36_16	LOCderiv
1408	1414	e_t_1_36_17	LOC
1538	1543	e_t_1_36_18	LOC
