begin	end	entityId	entityKind
6	21	e_3_36_0	PER
23	24	e_3_36_1	PER
23	26	e_3_36_2	PER
26	40	e_3_36_3	PER
42	44	e_3_36_4	PER
44	53	e_3_36_5	PER
55	57	e_3_36_6	PER
57	72	e_3_36_7	PER
74	97	e_3_36_8	PER
99	101	e_3_36_9	PER
101	111	e_3_36_10	PER
115	117	e_3_36_11	PER
117	131	e_3_36_12	PER
133	134	e_3_36_13	LOC
134	137	e_3_36_14	LOC
137	140	e_3_36_15	LOC
219	225	e_3_36_16	LOCderiv
321	330	e_3_36_17	LOC
499	514	e_3_36_18	PER
860	864	e_3_36_19	LOC
864	867	e_3_36_20	LOC
1042	1044	e_3_36_21	LOC
1044	1048	e_3_36_22	LOC
1449	1458	e_3_36_23	PER
1463	1467	e_3_36_24	LOC
1467	1470	e_3_36_25	LOC
