begin	end	entityId	entityKind
24	27	e_n_7_39_0	LOC
27	31	e_n_7_39_1	LOC
41	43	e_n_7_39_2	SHP
43	49	e_n_7_39_3	SHP
53	64	e_n_7_39_4	SHP
134	139	e_n_7_39_5	PER
196	199	e_n_7_39_6	SHP
199	200	e_n_7_39_7	SHP
326	330	e_n_7_39_8	LOC
349	360	e_n_7_39_9	LOC
415	418	e_n_7_39_10	LOC
418	419	e_n_7_39_11	LOC
496	503	e_n_7_39_12	SHP
507	509	e_n_7_39_13	SHP
509	516	e_n_7_39_14	SHP
540	542	e_n_7_39_15	LOC
542	547	e_n_7_39_16	LOC
600	607	e_n_7_39_17	LOC
633	641	e_n_7_39_18	ORG
702	707	e_n_7_39_19	PER
749	756	e_n_7_39_20	SHP
802	807	e_n_7_39_21	LOCderiv
887	895	e_n_7_39_22	ORG
918	930	e_n_7_39_23	LOC
1553	1561	e_n_7_39_24	ORG
