begin	end	entityId	entityKind
7	26	e_t6_3_0	PER
28	42	e_t6_3_1	PER
44	56	e_t6_3_2	PER
58	70	e_t6_3_3	PER
72	92	e_t6_3_4	PER
94	111	e_t6_3_5	PER
113	125	e_t6_3_6	PER
127	142	e_t6_3_7	PER
144	163	e_t6_3_8	PER
165	180	e_t6_3_9	PER
184	197	e_t6_3_10	PER
199	206	e_t6_3_11	LOC
228	234	e_t6_3_12	LOCderiv
253	263	e_t6_3_13	SHP
297	303	e_t6_3_14	LOC
382	385	e_t6_3_15	LOC
389	395	e_t6_3_16	LOC
522	528	e_t6_3_17	LOC
588	595	e_t6_3_18	LOC
678	684	e_t6_3_19	LOC
898	904	e_t6_3_20	LOC
1191	1200	e_t6_3_21	LOCpart
1201	1212	e_t6_3_22	PER
1241	1246	e_t6_3_23	LOC
1280	1289	e_t6_3_24	LOCderiv
1302	1309	e_t6_3_25	LOC
1338	1344	e_t6_3_26	LOC
1350	1357	e_t6_3_27	LOC
1411	1419	e_t6_3_28	LOCderiv
1613	1624	e_t6_3_29	LOCderiv
1929	1936	e_t6_3_30	LOCderiv
2064	2071	e_t6_3_31	LOC
2155	2162	e_t6_3_32	LOC
2166	2175	e_t6_3_33	LOC
2202	2211	e_t6_3_34	LOC
2531	2539	e_t6_3_35	LOC
2753	2760	e_t6_3_36	LOCderiv
2803	2809	e_t6_3_37	LOC
2821	2827	e_t6_3_38	LOC
2843	2849	e_t6_3_39	LOCderiv
3190	3200	e_t6_3_40	LOCderiv
3205	3210	e_t6_3_41	LOC
3226	3232	e_t6_3_42	LOC
3234	3240	e_t6_3_43	LOC
3244	3249	e_t6_3_44	LOC
3396	3401	e_t6_3_45	LOC
3442	3450	e_t6_3_46	LOC
3549	3554	e_t6_3_47	ORG
3845	3855	e_t6_3_48	LOCderiv
3981	3987	e_t6_3_49	ORG
4068	4078	e_t6_3_50	LOCderiv
4082	4090	e_t6_3_51	LOCderiv
4122	4126	e_t6_3_52	LOC
4158	4168	e_t6_3_53	RELderiv
4245	4253	e_t6_3_54	RELderiv
4287	4296	e_t6_3_55	PER
4353	4359	e_t6_3_56	LOC
4457	4463	e_t6_3_57	LOC
4615	4628	e_t6_3_58	PER
4682	4688	e_t6_3_59	LOC
4711	4718	e_t6_3_60	LOC
4763	4773	e_t6_3_61	LOCderiv
4791	4800	e_t6_3_62	PER
4824	4830	e_t6_3_63	LOC
4907	4917	e_t6_3_64	LOCderiv
4922	4929	e_t6_3_65	LOC
4944	4953	e_t6_3_66	LOCderiv
5014	5019	e_t6_3_67	LOC
5035	5041	e_t6_3_68	LOC
5115	5121	e_t6_3_69	LOC
5176	5185	e_t6_3_70	LOCderiv
5189	5200	e_t6_3_71	LOCderiv
5222	5238	e_t6_3_72	PER
5324	5338	e_t6_3_73	PER
5356	5370	e_t6_3_74	PER
5392	5402	e_t6_3_75	LOCderiv
5580	5593	e_t6_3_76	LOCderiv
5840	5853	e_t6_3_77	LOCderiv
5908	5912	e_t6_3_78	LOC
5948	5953	e_t6_3_79	PER
6053	6062	e_t6_3_80	LOC
6066	6074	e_t6_3_81	LOC
6096	6103	e_t6_3_82	LOC
6107	6114	e_t6_3_83	LOC
6189	6196	e_t6_3_84	LOC
6226	6232	e_t6_3_85	LOC
6242	6249	e_t6_3_86	LOCderiv
6295	6302	e_t6_3_87	LOC
6317	6326	e_t6_3_88	LOC
6331	6338	e_t6_3_89	LOC
6350	6356	e_t6_3_90	LOC
6372	6380	e_t6_3_91	LOC
6454	6458	e_t6_3_92	PER
6474	6481	e_t6_3_93	LOC
6551	6557	e_t6_3_94	LOC
6725	6730	e_t6_3_95	ORG
