begin	end	entityId	entityKind
3	13	e_n7_8_0	SHP
17	31	e_n7_8_1	SHP
55	67	e_n7_8_2	LOC
94	101	e_n7_8_3	PER
118	134	e_n7_8_4	PER
173	182	e_n7_8_5	LOC
183	193	e_n7_8_6	SHP
195	211	e_n7_8_7	SHP
213	220	e_n7_8_8	SHP
224	231	e_n7_8_9	SHP
238	245	e_n7_8_10	LOC
246	253	e_n7_8_11	SHP
257	266	e_n7_8_12	SHP
273	278	e_n7_8_13	LOC
279	287	e_n7_8_14	SHP
294	303	e_n7_8_15	LOC
304	312	e_n7_8_16	SHP
319	324	e_n7_8_17	LOC
325	340	e_n7_8_18	SHP
347	356	e_n7_8_19	LOC
360	364	e_n7_8_20	SHP
393	399	e_n7_8_21	LOC
416	425	e_n7_8_22	LOC
429	443	e_n7_8_23	SHP
447	462	e_n7_8_24	SHP
469	476	e_n7_8_25	LOC
480	497	e_n7_8_26	SHP
504	509	e_n7_8_27	LOC
510	516	e_n7_8_28	SHP
523	532	e_n7_8_29	ORG
533	541	e_n7_8_30	SHP
548	553	e_n7_8_31	LOC
554	564	e_n7_8_32	SHP
571	580	e_n7_8_33	LOC
581	590	e_n7_8_34	SHP
602	616	e_n7_8_35	PER
642	651	e_n7_8_36	SHP
707	714	e_n7_8_37	LOC
890	898	e_n7_8_38	LOC
907	914	e_n7_8_39	LOC
923	927	e_n7_8_40	LOC
937	943	e_n7_8_41	LOC
955	961	e_n7_8_42	LOC
1063	1070	e_n7_8_43	LOC
1212	1224	e_n7_8_44	PER
1342	1348	e_n7_8_45	LOC
1349	1363	e_n7_8_46	PER
1368	1375	e_n7_8_47	LOC
1413	1417	e_n7_8_48	LOC
1436	1440	e_n7_8_49	LOC
1460	1466	e_n7_8_50	LOC
1467	1476	e_n7_8_51	LOC
1602	1606	e_n7_8_52	PER
1763	1769	e_n7_8_53	LOC
1996	2005	e_n7_8_54	SHP
2026	2031	e_n7_8_55	LOC
2035	2042	e_n7_8_56	LOC
2047	2059	e_n7_8_57	PER
2067	2074	e_n7_8_58	PER
2091	2098	e_n7_8_59	LOC
2115	2134	e_n7_8_60	PER
2161	2177	e_n7_8_61	PER
2203	2210	e_n7_8_62	LOC
2216	2222	e_n7_8_63	ORG
2415	2420	e_n7_8_64	LOC
2424	2435	e_n7_8_65	SHP
2529	2540	e_n7_8_66	PER
2566	2581	e_n7_8_67	PER
2710	2725	e_n7_8_68	PER
2784	2786	e_n7_8_69	LOC
2799	2808	e_n7_8_70	LOCderiv
2877	2895	e_n7_8_71	LOC
3032	3051	e_n7_8_72	PER
3056	3060	e_n7_8_73	LOC
3083	3090	e_n7_8_74	LOC
3139	3143	e_n7_8_75	LOC
3160	3164	e_n7_8_76	LOC
3300	3305	e_n7_8_77	SHP
3319	3337	e_n7_8_78	LOC
3380	3385	e_n7_8_79	LOC
3533	3538	e_n7_8_80	SHP
3587	3605	e_n7_8_81	LOC
3663	3668	e_n7_8_82	LOC
3684	3693	e_n7_8_83	LOC
3737	3742	e_n7_8_84	LOC
3795	3803	e_n7_8_85	LOC
3862	3868	e_n7_8_86	LOC
3906	3912	e_n7_8_87	ORG
3933	3940	e_n7_8_88	ORG
4027	4033	e_n7_8_89	LOCderiv
4108	4116	e_n7_8_90	LOC
4136	4141	e_n7_8_91	LOC
4145	4156	e_n7_8_92	LOCderiv
4163	4168	e_n7_8_93	PER
4208	4225	e_n7_8_94	PER
4303	4314	e_n7_8_95	PER
4336	4351	e_n7_8_96	LOC
4418	4430	e_n7_8_97	LOCderiv
4447	4457	e_n7_8_98	ORG
4523	4529	e_n7_8_99	ORG
4884	4894	e_n7_8_100	LOC
4941	4947	e_n7_8_101	ORG
5134	5137	e_n7_8_102	LOC
5164	5182	e_n7_8_103	PER
5214	5229	e_n7_8_104	PER
5293	5305	e_n7_8_105	LOCderiv
5309	5318	e_n7_8_106	LOCderiv
5326	5334	e_n7_8_107	LOCderiv
5343	5350	e_n7_8_108	PER
5385	5391	e_n7_8_109	ORG
5422	5429	e_n7_8_110	LOC
5529	5537	e_n7_8_111	LOC
5543	5560	e_n7_8_112	PER
5590	5599	e_n7_8_113	LOC
5678	5684	e_n7_8_114	LOC
5685	5702	e_n7_8_115	PER
5731	5741	e_n7_8_116	LOC
5781	5788	e_n7_8_117	LOC
5794	5801	e_n7_8_118	LOC
5823	5830	e_n7_8_119	LOC
5841	5848	e_n7_8_120	LOC
5903	5917	e_n7_8_121	PER
5948	5956	e_n7_8_122	LOC
5987	5993	e_n7_8_123	LOC
6017	6024	e_n7_8_124	LOC
6027	6036	e_n7_8_125	LOC
6074	6083	e_n7_8_126	LOC
6125	6131	e_n7_8_127	LOC
6150	6159	e_n7_8_128	LOC
6257	6263	e_n7_8_129	LOC
6265	6272	e_n7_8_130	LOC
6275	6285	e_n7_8_131	LOC
6401	6409	e_n7_8_132	LOC
6448	6457	e_n7_8_133	LOC
6594	6603	e_n7_8_134	LOC
6639	6645	e_n7_8_135	LOC
6646	6657	e_n7_8_136	LOCderiv
6673	6682	e_n7_8_137	LOC
6686	6694	e_n7_8_138	LOC
6760	6768	e_n7_8_139	LOC
6858	6863	e_n7_8_140	LOCderiv
6926	6935	e_n7_8_141	LOC
6945	6953	e_n7_8_142	PER
6969	6989	e_n7_8_143	PER
7063	7071	e_n7_8_144	LOC
7101	7108	e_n7_8_145	LOC
7110	7119	e_n7_8_146	PER
7141	7148	e_n7_8_147	LOC
7185	7191	e_n7_8_148	LOC
7255	7262	e_n7_8_149	LOC
7295	7301	e_n7_8_150	PER
7305	7311	e_n7_8_151	PER
7344	7351	e_n7_8_152	PER
7353	7356	e_n7_8_153	PER
7521	7524	e_n7_8_154	PER
7572	7585	e_n7_8_155	ORG
7683	7689	e_n7_8_156	LOC
7699	7706	e_n7_8_157	LOCderiv
7732	7739	e_n7_8_158	LOCderiv
7807	7814	e_n7_8_159	LOCderiv
7877	7884	e_n7_8_160	LOC
7890	7896	e_n7_8_161	LOC
8003	8010	e_n7_8_162	LOC
8070	8078	e_n7_8_163	LOC
8201	8208	e_n7_8_164	LOC
8263	8272	e_n7_8_165	LOC
8278	8285	e_n7_8_166	LOC
8374	8385	e_n7_8_167	LOCderiv
8439	8450	e_n7_8_168	LOCderiv
8451	8457	e_n7_8_169	ORG
8516	8530	e_n7_8_170	LOCderiv
8537	8558	e_n7_8_171	PER
8645	8653	e_n7_8_172	LOCderiv
8697	8704	e_n7_8_173	LOC
8705	8719	e_n7_8_174	PER
9049	9073	e_n7_8_175	PER
9088	9096	e_n7_8_176	PER
9100	9109	e_n7_8_177	PER
